study_id,title,quality_flags,missing_field_count,resource_count,resource_quality_flags
oa_W2867988665,Gender-based analysis of factors affecting junior medical students’ career selection: addressing the shortage of surgical workforce in Rwanda,,0,1,
oa_W389977658,Building health research infrastructure in Rwanda,,0,1,
oa_W4399206058,"Assessment of the socioeconomic impact of COVID-19 in Rwanda: Findings from a country-wide community survey, preliminary analysis to inform further global research",,0,1,
oa_W2898292264,Leapfrogging Manufacturing? Rwanda’s Attempt to Build a Services-Led ‘Developmental State’,,0,1,
oa_W2110830247,Rwanda’s evolving community health worker system: a qualitative assessment of client and provider perspectives,,0,1,
oa_W2129937130,Workplace violence and gender discrimination in Rwanda's health workforce: Increasing safety and gender equality,,0,1,
oa_W2141294688,Geographical accessibility and spatial coverage modeling of the primary health care network in the Western Province of Rwanda,,0,1,
oa_W2887900167,"Situating Agency, Embodied Practices and Norm Implementation in Peacekeeping Training",,0,1,
oa_W2136913982,"Rates and predictors of mental stress in Rwanda: investigating the impact of gender, persecution, readiness to reconcile and religiosity via a structural equation model",,0,1,
oa_W4301393871,"Prevalence of mental disorders, associated co-morbidities, health care knowledge and service utilization in Rwanda – towards a blueprint for promoting mental health care services in low- and middle-income countries?",,0,1,
oa_W1168182153,3 Confronting the Aftermath of Conflict: Women’s Organizations in Postgenocide Rwanda,,0,0,
oa_W2623094429,Factors influencing farmers' participation in crop intensification program in Rwanda,,0,1,
oa_W4238242055,The Big Push,,0,0,
oa_W3084003255,"Pathways of change: qualitative evaluations of intimate partner violence prevention programmes in Ghana, Rwanda, South Africa and Tajikistan",,0,1,
oa_W2625471093,"A Process Review of the Indashyikirwa Couples Curriculum to Prevent Intimate Partner Violence and Support Healthy, Equitable Relationships in Rwanda",,0,1,
oa_W2030511500,"High rate of unintended pregnancies after knowing of HIV infection among HIV positive women under antiretroviral treatment in Kigali, Rwanda",,0,1,
oa_W2904252851,"Sexual coercion, consent and negotiation: processes of change amongst couples participating in the <i>Indashyikirwa</i> programme in Rwanda",,0,0,
oa_W2959365558,Improving parenting practices and development for young children in Rwanda: Results from a randomized control trial,,0,0,
oa_W2889182464,The Big Push: Exposing and Challenging the Persistence of Patriarchy,,0,1,
oa_W2277614753,Photovoice as a Methodological Tool to Address HIV and AIDS and Gender Violence amongst Girls on the Street in Rwanda,,0,0,
oa_W2121144210,Coping with change in ICT‐based learning environments: newly qualified Rwandan teachers' reflections,,0,0,
oa_W4367315188,"Family play, reading, and other stimulation and early childhood development in five low‐and‐middle‐income countries",,0,1,
