study_id,type,name,label,url,filename,quality_flags
oa_W2867988665,url,Open Access — Gender-based analysis of factors affecting junior medical st,Full text (open access),https://human-resources-health.biomedcentral.com/track/pdf/10.1186/s12960-018-0295-7,,
oa_W2867988665,url,DOI — Gender-based analysis of factors affecting junior medical st,DOI link,https://doi.org/10.1186/s12960-018-0295-7,,
oa_W389977658,url,Open Access — Building health research infrastructure in Rwanda,Full text (open access),http://www.thelancet.com/article/S2214109X1370144X/pdf,,
oa_W389977658,url,DOI — Building health research infrastructure in Rwanda,DOI link,https://doi.org/10.1016/s2214-109x(13)70144-x,,
oa_W4399206058,url,Open Access — Assessment of the socioeconomic impact of COVID-19 in Rwanda,Full text (open access),https://doi.org/10.1016/j.resglo.2024.100230,,
oa_W2898292264,pdf,Open Access — Leapfrogging Manufacturing? Rwanda’s Attempt to Build a Serv,Full text (open access),https://link.springer.com/content/pdf/10.1057/s41287-018-0169-9.pdf,,
oa_W2898292264,url,DOI — Leapfrogging Manufacturing? Rwanda’s Attempt to Build a Serv,DOI link,https://doi.org/10.1057/s41287-018-0169-9,,
oa_W2110830247,url,Open Access — Rwanda’s evolving community health worker system: a qualitat,Full text (open access),https://human-resources-health.biomedcentral.com/counter/pdf/10.1186/1478-4491-12-71,,
oa_W2110830247,url,DOI — Rwanda’s evolving community health worker system: a qualitat,DOI link,https://doi.org/10.1186/1478-4491-12-71,,
oa_W2129937130,url,Open Access — Workplace violence and gender discrimination in Rwanda's hea,Full text (open access),https://human-resources-health.biomedcentral.com/counter/pdf/10.1186/1478-4491-9-19,,
oa_W2129937130,url,DOI — Workplace violence and gender discrimination in Rwanda's hea,DOI link,https://doi.org/10.1186/1478-4491-9-19,,
oa_W2141294688,url,Open Access — Geographical accessibility and spatial coverage modeling of ,Full text (open access),https://ij-healthgeographics.biomedcentral.com/counter/pdf/10.1186/1476-072X-11-40,,
oa_W2141294688,url,DOI — Geographical accessibility and spatial coverage modeling of ,DOI link,https://doi.org/10.1186/1476-072x-11-40,,
oa_W2887900167,pdf,"Open Access — Situating Agency, Embodied Practices and Norm Implementation",Full text (open access),https://centaur.reading.ac.uk/78253/1/FINAL%20HOLMES%20WORD%20VERSION.pdf,,
oa_W2887900167,url,"DOI — Situating Agency, Embodied Practices and Norm Implementation",DOI link,https://doi.org/10.1080/13533312.2018.1503934,,
oa_W2136913982,url,Open Access — Rates and predictors of mental stress in Rwanda: investigati,Full text (open access),https://ijmhs.biomedcentral.com/counter/pdf/10.1186/1752-4458-8-37,,
